thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
56,7,705,81.663194,191,472,281,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000554.SZ,泰山石油,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
57,7,706,81.663194,155,426,271,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000682.SZ,东方电子,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
58,7,707,81.663194,136,314,178,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000791.SZ,甘肃能源,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
59,7,708,81.663194,139,334,195,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,001208.SZ,华菱线缆,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
60,7,709,81.663194,125,249,124,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,001258.SZ,立新能源,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
61,7,710,81.663194,113,234,121,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,001299.SZ,美能能源,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
62,7,711,81.663194,135,298,163,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00182.HK,CONCORD NE,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
63,7,712,81.663194,11,290,279,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002039.SZ,黔源电力,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
64,7,713,81.663194,25,385,360,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002056.SZ,横店东磁,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
65,7,714,81.663194,115,365,250,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00206.HK,CM-ENERGY,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
