stock_code,universe_name,snapshot_name,included,status,source_action,date_action,entity_action,reason
002300.SZ,太阳电缆,太阳电缆,True,matched,filled,filled,preserved,证券代码及名称匹配
002498.SZ,汉缆股份,汉缆股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600777.SH,新潮能源,新潮能源,True,matched,filled,filled,preserved,证券代码及名称匹配
600416.SH,湘电股份,湘电股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600982.SH,宁波能源,宁波能源,True,matched,filled,filled,preserved,证券代码及名称匹配
603693.SH,江苏新能,江苏新能,True,matched,filled,filled,preserved,证券代码及名称匹配
300062.SZ,中能电气,中能电气,True,matched,filled,filled,preserved,证券代码及名称匹配
601222.SH,林洋能源,林洋能源,True,matched,filled,filled,preserved,证券代码及名称匹配
000690.SZ,宝新能源,宝新能源,True,matched,filled,filled,preserved,证券代码及名称匹配
000993.SZ,闽东电力,闽东电力,True,matched,filled,filled,preserved,证券代码及名称匹配
000937.SZ,冀中能源,冀中能源,True,matched,filled,filled,preserved,证券代码及名称匹配
002350.SZ,北京科锐,北京科锐,True,matched,filled,filled,preserved,证券代码及名称匹配
603577.SH,汇金通,汇金通,True,matched,filled,filled,preserved,证券代码及名称匹配
01938.HK,CHU KONG PIPE,CHU KONG PIPE,True,matched,filled,filled,preserved,证券代码及名称匹配
600468.SH,百利电气,百利电气,True,matched,filled,filled,preserved,证券代码及名称匹配
605196.SH,华通线缆,华通线缆,True,matched,filled,filled,preserved,证券代码及名称匹配
603861.SH,白云电器,白云电器,True,matched,filled,filled,preserved,证券代码及名称匹配
603320.SH,迪贝电气,迪贝电气,True,matched,filled,filled,preserved,证券代码及名称匹配
002128.SZ,电投能源,电投能源,True,matched,filled,filled,preserved,证券代码及名称匹配
00006.HK,POWER ASSETS,POWER ASSETS,True,matched,filled,filled,preserved,证券代码及名称匹配
01555.HK,MIE HOLDINGS,MIE HOLDINGS,True,matched,filled,filled,preserved,证券代码及名称匹配
300772.SZ,运达股份,运达股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600116.SH,三峡水利,三峡水利,True,matched,filled,filled,preserved,证券代码及名称匹配
600903.SH,贵州燃气,贵州燃气,True,matched,filled,filled,preserved,证券代码及名称匹配
600884.SH,杉杉股份,杉杉股份,True,matched,filled,filled,preserved,证券代码及名称匹配
000819.SZ,岳阳兴长,岳阳兴长,True,matched,filled,filled,preserved,证券代码及名称匹配
00091.HK,金禧国际控股集团有限公司,,False,unmatched,unchanged,unchanged,unchanged,证券代码未匹配官方快照
002056.SZ,横店东磁,横店东磁,True,matched,filled,filled,preserved,证券代码及名称匹配
000539.SZ,粤电力Ａ,粤电力Ａ,True,matched,filled,filled,preserved,证券代码及名称匹配
601616.SH,广电电气,广电电气,True,matched,filled,filled,preserved,证券代码及名称匹配
600405.SH,动力源,动力源,True,matched,filled,filled,preserved,证券代码及名称匹配
00819.HK,TIANNENG POWER,TIANNENG POWER,True,matched,filled,filled,preserved,证券代码及名称匹配
600163.SH,中闽能源,中闽能源,True,matched,filled,filled,preserved,证券代码及名称匹配
603706.SH,东方环宇,东方环宇,True,matched,filled,filled,preserved,证券代码及名称匹配
603618.SH,杭电股份,杭电股份,True,matched,filled,filled,preserved,证券代码及名称匹配
688616.SH,西力科技,西力科技,True,matched,filled,filled,preserved,证券代码及名称匹配
688116.SH,天奈科技,天奈科技,True,matched,filled,filled,preserved,证券代码及名称匹配
600508.SH,上海能源,上海能源,True,matched,filled,filled,preserved,证券代码及名称匹配
03395.HK,JX ENERGY,JX ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
00689.HK,EPI (HOLDINGS),EPI (HOLDINGS),True,matched,filled,filled,preserved,证券代码及名称匹配
688517.SH,金冠电气,金冠电气,True,matched,filled,filled,preserved,证券代码及名称匹配
002986.SZ,宇新股份,宇新股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600744.SH,华银电力,华银电力,True,matched,filled,filled,preserved,证券代码及名称匹配
300763.SZ,锦浪科技,锦浪科技,True,matched,filled,filled,preserved,证券代码及名称匹配
603032.SH,德新科技,德新科技,True,matched,filled,filled,preserved,证券代码及名称匹配
