thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
79,19,3044,67.065972,17,273,256,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,09689.HK,JTF INTL,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
80,19,3045,67.065972,176,380,204,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300037.SZ,新宙邦,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
81,19,3046,67.065972,187,348,161,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300040.SZ,九洲集团,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
82,19,3047,67.065972,65,233,168,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300073.SZ,当升科技,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
83,19,3048,67.065972,166,414,248,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300105.SZ,龙源技术,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
84,19,3049,67.065972,67,221,154,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300207.SZ,欣旺达,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
85,19,3050,67.065972,142,365,223,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300316.SZ,晶盛机电,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
86,19,3051,67.065972,104,260,156,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300376.SZ,易事特,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
87,19,3052,67.065972,101,323,222,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300483.SZ,首华燃气,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
88,19,3053,67.065972,147,421,274,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,300568.SZ,星源材质,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
