impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
77,99.340278,14,293,279,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,03337.HK,ANTON OILFIELD,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
78,99.340278,33,494,461,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,03395.HK,JX ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
79,99.340278,25,369,344,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,03633.HK,ZHONGYU ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
80,99.340278,200,408,208,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,03668.HK,YANCOAL AUS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
81,99.340278,80,288,208,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,03800.HK,GCL TECH,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
82,99.340278,181,314,133,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,03868.HK,XINYI ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
83,99.340278,142,397,255,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,06885.HK,JINMA ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
84,99.340278,136,419,283,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,08347.HK,F8 ENT,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
85,99.340278,28,312,284,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,09689.HK,JTF INTL,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
86,99.340278,122,401,279,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300037.SZ,新宙邦,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
87,99.340278,179,343,164,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300040.SZ,九洲集团,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
88,99.340278,62,233,171,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300073.SZ,当升科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
89,99.340278,168,436,268,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300105.SZ,龙源技术,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
90,99.340278,78,381,303,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300191.SZ,潜能恒信,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
91,99.340278,136,369,233,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300316.SZ,晶盛机电,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
92,99.340278,144,285,141,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300376.SZ,易事特,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
93,99.340278,38,377,339,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300483.SZ,首华燃气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
94,99.340278,194,465,271,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300490.SZ,华自科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
95,99.340278,140,429,289,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300568.SZ,星源材质,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
96,99.340278,103,281,178,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300693.SZ,盛弘股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
97,99.340278,139,275,136,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300724.SZ,捷佳伟创,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
98,99.340278,6,412,406,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300750.SZ,宁德时代,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
99,99.340278,183,298,115,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300763.SZ,锦浪科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
100,99.340278,102,293,191,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300820.SZ,英杰电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
101,99.340278,171,418,247,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300827.SZ,上能电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
102,99.340278,68,215,147,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300882.SZ,万胜智能,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
103,99.340278,139,417,278,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,300953.SZ,震裕科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
104,99.340278,176,347,171,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,301168.SZ,通灵股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
105,99.340278,101,305,204,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,301386.SZ,未来电器,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
106,99.340278,162,344,182,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,301388.SZ,欣灵电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
107,99.340278,159,276,117,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600021.SH,上海电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
108,99.340278,70,227,157,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600032.SH,浙江新能,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
109,99.340278,145,314,169,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600157.SH,永泰能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
110,99.340278,95,449,354,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600188.SH,兖矿能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
111,99.340278,190,350,160,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600310.SH,广西能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
112,99.340278,161,312,151,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600339.SH,中油工程,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
113,99.340278,117,313,196,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,600395.SH,盘江股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
