company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
002015.SZ,协鑫能科,291,454,163,45.36,6.25,D,81.5,优先补证并复核缺失策略敏感性
00228.HK,CHINA ENERGY,271,434,163,44.96,7.5,D,81.5,优先补证并复核缺失策略敏感性
301278.SZ,快可电子,162,325,163,42.44,11.25,D,81.5,优先补证并复核缺失策略敏感性
600028.SH,中国石化,257,420,163,44.72,3.75,D,81.5,优先补证并复核缺失策略敏感性
600482.SH,中国动力,9,172,163,25.99,30.0,D,81.5,优先补证并复核缺失策略敏感性
600483.SH,福能股份,46,209,163,30.93,26.25,D,81.5,优先补证并复核缺失策略敏感性
603070.SH,万控智造,90,253,163,32.4,25.0,D,81.5,优先补证并复核缺失策略敏感性
603026.SH,石大胜华,173,335,162,34.16,22.5,D,81.0,优先补证并复核缺失策略敏感性
002805.SZ,丰元股份,321,482,161,39.04,15.0,D,80.5,优先补证并复核缺失策略敏感性
300040.SZ,九洲集团,139,300,161,33.24,23.75,D,80.5,优先补证并复核缺失策略敏感性
300069.SZ,金利华电,359,519,160,46.92,5.0,D,80.0,优先补证并复核缺失策略敏感性
300407.SZ,凯发电气,125,285,160,41.24,12.5,D,80.0,优先补证并复核缺失策略敏感性
300569.SZ,天能重工,204,363,159,43.4,8.75,D,79.5,优先补证并复核缺失策略敏感性
300882.SZ,万胜智能,31,190,159,30.44,27.5,D,79.5,优先补证并复核缺失策略敏感性
600157.SH,永泰能源,129,288,159,32.96,23.75,D,79.5,优先补证并复核缺失策略敏感性
000637.SZ,茂化实华,374,532,158,46.64,5.0,D,79.0,优先补证并复核缺失策略敏感性
000723.SZ,美锦能源,199,357,158,34.76,21.25,D,79.0,优先补证并复核缺失策略敏感性
03899.HK,CIMC ENRIC,43,201,158,39.84,16.25,D,79.0,优先补证并复核缺失策略敏感性
300457.SZ,赢合科技,313,471,158,45.72,6.25,D,79.0,优先补证并复核缺失策略敏感性
603318.SH,水发燃气,180,338,158,34.32,22.5,D,79.0,优先补证并复核缺失策略敏感性
601611.SH,中国核建,244,401,157,36.12,20.0,D,78.5,优先补证并复核缺失策略敏感性
301292.SZ,海科新源,259,415,156,44.4,8.75,D,78.0,优先补证并复核缺失策略敏感性
000539.SZ,粤电力Ａ,368,522,154,46.0,5.0,D,77.0,优先补证并复核缺失策略敏感性
000722.SZ,湖南发展,381,535,154,46.28,5.0,D,77.0,优先补证并复核缺失策略敏感性
601088.SH,中国神华,357,511,154,46.0,5.0,D,77.0,优先补证并复核缺失策略敏感性
603320.SH,迪贝电气,123,277,154,32.96,23.75,D,77.0,优先补证并复核缺失策略敏感性
000819.SZ,岳阳兴长,105,258,153,39.84,10.0,D,76.5,优先补证并复核缺失策略敏感性
300393.SZ,中来股份,396,549,153,47.2,3.75,D,76.5,优先补证并复核缺失策略敏感性
601615.SH,明阳智能,195,348,153,34.72,21.25,D,76.5,优先补证并复核缺失策略敏感性
000554.SZ,泰山石油,378,530,152,46.16,3.75,D,76.0,优先补证并复核缺失策略敏感性
600011.SH,华能国际,279,431,152,44.72,6.25,D,76.0,优先补证并复核缺失策略敏感性
603032.SH,德新科技,206,358,152,35.0,21.25,D,76.0,优先补证并复核缺失策略敏感性
