序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
456,301082.SZ,久盛电气,指标数值,25.0,11.93,13.18,,,,,,,,3.59,0.08,70,12.18
456,301082.SZ,久盛电气,指标分值,,,,,,,,,,,1.2223,0.8775,1.7876,
457,300427.SZ,红相股份,指标数值,22.5,12.41,11.18,,,,,,,,6.18,0,26.0518,12.17
457,300427.SZ,红相股份,指标分值,,,,,,,,,,,1.9828,0.5661,1.2349,
458,002218.SZ,拓日新能,指标数值,32.5,10.64,18.14,,,,,,,,7.11,0,38.93,12.14
458,002218.SZ,拓日新能,指标分值,,,,,,,,,,,2.2247,0.5661,2.3004,
459,300286.SZ,安科瑞,指标数值,20.0,12.11,12.08,,,,,,,,11.02,0.35,16.9976,12.11
459,300286.SZ,安科瑞,指标分值,,,,,,,,,,,2.8448,2.1669,0.618,
459,600188.SH,兖矿能源,指标数值,25.0,10.94,16.8,,,,,,,,2.34,0.5,62.2,12.11
459,600188.SH,兖矿能源,指标分值,,,,,,,,,,,0.8761,2.6667,2.4041,
460,300185.SZ,通裕重工,指标数值,30.0,12.14,11.52,,,,,,,,2.68,0.002,54.44,12.02
460,300185.SZ,通裕重工,指标分值,,,,,,,,,,,0.9659,0.573,2.7649,
461,00006.HK,POWER ASSETS,指标数值,40.0,3.24,47.1,,,,,,,,,,,12.01
461,00006.HK,POWER ASSETS,指标分值,,,,,,,,,,,,,,
462,01938.HK,CHU KONG PIPE,指标数值,36.25,6.57,33.58,,,,,,,,,,,11.97
462,01938.HK,CHU KONG PIPE,指标分值,,,,,,,,,,,,,,
463,002608.SZ,江苏国信,指标数值,23.75,10.65,17.07,,,,,,,,0.25,0.13,51.0856,11.94
463,002608.SZ,江苏国信,指标分值,,,,,,,,,,,0.426,1.1055,2.7998,
464,688560.SH,明冠新材,指标数值,37.5,9.5,21.41,,,,,,,,4.72,0,7.378,11.88
464,688560.SH,明冠新材,指标分值,,,,,,,,,,,1.5587,0.5661,0.2352,
465,300317.SZ,珈伟新能,指标数值,22.5,8.62,24.48,,,,,,,,1.87,0,53.31,11.79
465,300317.SZ,珈伟新能,指标分值,,,,,,,,,,,0.7588,0.5661,2.7856,
466,301012.SZ,扬电科技,指标数值,26.25,10.78,15.58,,,,,,,,2.3,0.04,23.6616,11.74
466,301012.SZ,扬电科技,指标分值,,,,,,,,,,,0.8658,0.7125,1.0499,
467,002309.SZ,中利集团,指标数值,26.25,9.74,18.86,,,,,,,,1.23,,,11.56
467,002309.SZ,中利集团,指标分值,,,,,,,,,,,0.6135,,,
468,00065.HK,GRAND OCEAN AR,指标数值,37.5,7.56,27.52,,,,,,,,,,41.3306,11.55
468,00065.HK,GRAND OCEAN AR,指标分值,,,,,,,,,,,,,2.4644,
469,002451.SZ,摩恩电气,指标数值,22.5,10.85,13.9,,,,,,,,2.99,0.01,54.1538,11.46
469,002451.SZ,摩恩电气,指标分值,,,,,,,,,,,1.0509,0.6008,2.7709,
470,03668.HK,YANCOAL AUS,指标数值,35.0,4.09,40.75,,,,,,,,,,25.9893,11.42
470,03668.HK,YANCOAL AUS,指标分值,,,,,,,,,,,,,1.23,
471,000993.SZ,闽东电力,指标数值,21.25,10.31,15.68,,,,,,,,,0.18,27.6852,11.38
471,000993.SZ,闽东电力,指标分值,,,,,,,,,,,,1.3502,1.3682,
472,301327.SZ,华宝新能,指标数值,25.0,9.28,19.53,,,,,,,,4.29,0,14.1655,11.33
472,301327.SZ,华宝新能,指标分值,,,,,,,,,,,1.4298,0.5661,0.4766,
473,600011.SH,华能国际,指标数值,22.5,6.82,28.97,,,,,,,,0.89,0.4,,11.25
473,600011.SH,华能国际,指标分值,,,,,,,,,,,0.5435,2.3645,,
474,300457.SZ,赢合科技,指标数值,20.0,10.39,14.58,,,,,,,,6.84,0.085,63.5888,11.23
474,300457.SZ,赢合科技,指标分值,,,,,,,,,,,2.1576,0.8993,2.3068,
475,300265.SZ,通光线缆,指标数值,28.75,7.62,25.41,,,,,,,,4.26,0.02,31.14,11.18
475,300265.SZ,通光线缆,指标分值,,,,,,,,,,,1.4208,0.6368,1.6614,
476,08347.HK,F8 ENT,指标数值,32.5,6.62,29.03,,,,,,,,,,,11.1
476,08347.HK,F8 ENT,指标分值,,,,,,,,,,,,,,
477,003022.SZ,联泓新科,指标数值,26.25,9.92,15.28,,,,,,,,4.73,0.07,66.97,10.99
477,003022.SZ,联泓新科,指标分值,,,,,,,,,,,1.5617,0.8346,2.0432,
478,00934.HK,SINOPEC KANTONS,指标数值,48.75,4.59,36.46,,,,,,,,,,2.0542,10.97
478,00934.HK,SINOPEC KANTONS,指标分值,,,,,,,,,,,,,0.1244,
479,01393.HK,HIDILI INDUSTRY,指标数值,37.5,6.95,26.5,,,,,,,,,,,10.86
479,01393.HK,HIDILI INDUSTRY,指标分值,,,,,,,,,,,,,,
480,300907.SZ,康平科技,指标数值,18.75,10.61,11.8,,,,,,,,3.79,0.25,58.5612,10.85
480,300907.SZ,康平科技,指标分值,,,,,,,,,,,1.281,1.7013,2.6169,
481,00607.HK,FULLSHARE,指标数值,42.5,0.55,51.93,,,,,,,,,,,10.83
481,00607.HK,FULLSHARE,指标分值,,,,,,,,,,,,,,
482,00332.HK,YUANHENGGAS-NEW,指标数值,46.25,3.42,40.3,,,,,,,,,,,10.8
482,00332.HK,YUANHENGGAS-NEW,指标分值,,,,,,,,,,,,,,
483,00346.HK,YANCHANG PETRO,指标数值,40.0,4.45,35.86,,,,,,,,,,78.9713,10.73
483,00346.HK,YANCHANG PETRO,指标分值,,,,,,,,,,,,,1.048,
484,01623.HK,HILONG,指标数值,38.75,2.91,41.83,,,,,,,,,,61.2127,10.7
484,01623.HK,HILONG,指标分值,,,,,,,,,,,,,2.4684,
485,600241.SH,时代万恒,指标数值,28.75,11.14,8.02,,,,,,,,4.01,,10.41,10.51
485,600241.SH,时代万恒,指标分值,,,,,,,,,,,1.3462,,0.3272,
486,001331.SZ,胜通能源,指标数值,22.5,9.08,16.21,,,,,,,,0.01,0.06,13.3331,10.5
486,001331.SZ,胜通能源,指标分值,,,,,,,,,,,0.3868,0.7928,0.4399,
486,600875.SH,东方电气,指标数值,23.75,7.1,24.11,,,,,,,,4.94,0.53,,10.5
486,600875.SH,东方电气,指标分值,,,,,,,,,,,1.6245,2.733,,
487,601868.SH,中国能建,指标数值,28.75,6.19,27.36,,,,,,,,3.28,0.0312,77.74,10.42
487,601868.SH,中国能建,指标分值,,,,,,,,,,,1.1327,0.6786,1.1416,
488,002060.SZ,广东建工,指标数值,23.75,8.0,19.91,,,,,,,,3.41,0.14,89.3468,10.39
488,002060.SZ,广东建工,指标分值,,,,,,,,,,,1.1701,1.1534,0.4368,
489,920152.BJ,昆工科技,指标数值,32.5,1.92,43.52,,,,,,,,,,68.47,10.24
489,920152.BJ,昆工科技,指标分值,,,,,,,,,,,,,1.918,
490,002857.SZ,三晖电气,指标数值,21.25,9.53,12.92,,,,,,,,7.6,,48.0955,10.21
490,002857.SZ,三晖电气,指标分值,,,,,,,,,,,2.3389,,2.7633,
491,300141.SZ,和顺电气,指标数值,22.5,9.81,11.72,,,,,,,,7.98,0,44.4912,10.2
491,300141.SZ,和顺电气,指标分值,,,,,,,,,,,2.4204,0.5661,2.6381,
492,601898.SH,中煤能源,指标数值,18.75,7.77,19.71,,,,,,,,2.42,0.383,45.8,10.16
492,601898.SH,中煤能源,指标分值,,,,,,,,,,,0.8969,2.3006,2.6932,
493,920682.BJ,球冠电缆,指标数值,21.25,7.01,22.48,,,,,,,,,,55.3611,10.11
493,920682.BJ,球冠电缆,指标分值,,,,,,,,,,,,,2.7414,
494,920914.BJ,远航精密,指标数值,26.25,6.29,25.11,,,,,,,,,,29.5909,10.06
494,920914.BJ,远航精密,指标分值,,,,,,,,,,,,,1.5287,
495,00689.HK,EPI (HOLDINGS),指标数值,40.0,4.54,32.1,,,,,,,,,,,10.05
495,00689.HK,EPI (HOLDINGS),指标分值,,,,,,,,,,,,,,
496,002350.SZ,北京科锐,指标数值,23.75,8.64,14.93,,,,,,,,3.5,0.032,70,9.9
496,002350.SZ,北京科锐,指标分值,,,,,,,,,,,1.1961,0.6816,1.7876,
497,000767.SZ,晋控电力,指标数值,27.5,5.24,28.14,,,,,,,,1.51,,81.37,9.82
497,000767.SZ,晋控电力,指标分值,,,,,,,,,,,0.6749,,0.8773,
497,01555.HK,MIE HOLDINGS,指标数值,36.25,2.74,38.12,,,,,,,,,,,9.82
497,01555.HK,MIE HOLDINGS,指标分值,,,,,,,,,,,,,,
498,002196.SZ,方正电机,指标数值,18.75,9.12,12.6,,,,,,,,6.69,,69.85,9.81
498,002196.SZ,方正电机,指标分值,,,,,,,,,,,2.1192,,1.8004,
498,920239.BJ,长虹能源,指标数值,23.75,5.38,27.53,,,,,,,,,,73.9596,9.81
498,920239.BJ,长虹能源,指标分值,,,,,,,,,,,,,1.4487,
499,00042.HK,NE ELECTRIC,指标数值,41.25,2.66,37.66,,,,,,,,,,,9.66
499,00042.HK,NE ELECTRIC,指标分值,,,,,,,,,,,,,,
500,000692.SZ,惠天热电,指标数值,25.0,8.11,15.01,,,,,,,,,,98.6906,9.49
500,000692.SZ,惠天热电,指标分值,,,,,,,,,,,,,0.1567,
500,002616.SZ,长青集团,指标数值,21.25,7.68,16.73,,,,,,,,,0.25,73.23,9.49
500,002616.SZ,长青集团,指标分值,,,,,,,,,,,,1.7013,1.5105,
501,002700.SZ,万憬能源,指标数值,23.75,5.93,23.54,,,,,,,,,0.025,13.5887,9.45
501,002700.SZ,万憬能源,指标分值,,,,,,,,,,,,0.6553,0.4509,
502,600212.SH,绿能慧充,指标数值,17.5,8.21,14.03,,,,,,,,5.63,,65.89,9.37
502,600212.SH,绿能慧充,指标分值,,,,,,,,,,,1.8275,,2.1307,
503,002546.SZ,新联电子,指标数值,18.75,8.05,14.61,,,,,,,,6.65,0.12,7.669,9.36
503,002546.SZ,新联电子,指标分值,,,,,,,,,,,2.1088,1.0583,0.243,
504,920375.BJ,派诺科技,指标数值,22.5,6.18,21.41,,,,,,,,,,36.31,9.23
504,920375.BJ,派诺科技,指标分值,,,,,,,,,,,,,2.0981,
505,300069.SZ,金利华电,指标数值,22.5,7.0,18.04,,,,,,,,3.61,,60.407,9.21
505,300069.SZ,金利华电,指标分值,,,,,,,,,,,1.2281,,2.5174,
506,000591.SZ,太阳能,指标数值,28.75,6.68,19.18,,,,,,,,2,0.013,53.89,9.18
506,000591.SZ,太阳能,指标分值,,,,,,,,,,,0.7904,0.6115,2.7761,
507,000703.SZ,恒逸石化,指标数值,25.0,5.13,25.2,,,,,,,,0.78,0.05,72.28,9.14
507,000703.SZ,恒逸石化,指标分值,,,,,,,,,,,0.522,0.752,1.5916,
508,300670.SZ,大烨智能,指标数值,23.75,7.81,13.28,,,,,,,,6.16,,73.599,8.9
508,300670.SZ,大烨智能,指标分值,,,,,,,,,,,1.9773,,1.4791,
509,000875.SZ,电投绿能,指标数值,21.25,8.34,11.03,,,,,,,,0.57,0.016,69.57,8.87
509,000875.SZ,电投绿能,指标分值,,,,,,,,,,,0.4824,0.6223,1.8244,
509,00353.HK,ENERGY INTINV,指标数值,13.75,7.39,14.78,,,,,,,,,,,8.87
509,00353.HK,ENERGY INTINV,指标分值,,,,,,,,,,,,,,
510,02012.HK,SUNSHINE OIL,指标数值,33.75,3.54,29.33,,,,,,,,,,96.1771,8.7
510,02012.HK,SUNSHINE OIL,指标分值,,,,,,,,,,,,,0.2111,
511,000421.SZ,南京公用,指标数值,18.75,7.35,13.58,,,,,,,,0.28,0.06,61.9661,8.59
511,000421.SZ,南京公用,指标分值,,,,,,,,,,,0.4311,0.7928,2.4197,
511,920110.BJ,雷特科技,指标数值,23.75,6.09,18.6,,,,,,,,,,7.49,8.59
511,920110.BJ,雷特科技,指标分值,,,,,,,,,,,,,0.2382,
512,00645.HK,ARES ASIA,指标数值,27.5,4.83,23.5,,,,,,,,,,,8.57
512,00645.HK,ARES ASIA,指标分值,,,,,,,,,,,,,,
513,600938.SH,中国海油,指标数值,22.5,3.46,28.73,,,,,,,,1.38,,,8.52
513,600938.SH,中国海油,指标分值,,,,,,,,,,,0.646,,,
514,000637.SZ,茂化实华,指标数值,26.25,5.11,22.01,,,,,,,,0.68,,69.03,8.49
514,000637.SZ,茂化实华,指标分值,,,,,,,,,,,0.5029,,1.8705,
515,920639.BJ,晨光电缆,指标数值,18.75,6.56,16.13,,,,,,,,,,57.3313,8.47
515,920639.BJ,晨光电缆,指标分值,,,,,,,,,,,,,2.6724,
516,000049.SZ,德赛电池,指标数值,20.0,5.45,20.04,,,,,,,,4.6,0.23,,8.36
516,000049.SZ,德赛电池,指标分值,,,,,,,,,,,1.5227,1.6015,,
517,03395.HK,JX ENERGY,指标数值,28.75,4.23,24.63,,,,,,,,,,,8.31
517,03395.HK,JX ENERGY,指标分值,,,,,,,,,,,,,,
518,00554.HK,HANS GP HLDGS,指标数值,17.5,7.65,10.62,,,,,,,,,,,8.24
518,00554.HK,HANS GP HLDGS,指标分值,,,,,,,,,,,,,,
519,01621.HK,VICO INTL HLDGS,指标数值,32.5,4.09,24.45,,,,,,,,,,,8.16
519,01621.HK,VICO INTL HLDGS,指标分值,,,,,,,,,,,,,,
520,603218.SH,日月股份,指标数值,20.0,5.65,17.89,,,,,,,,4.24,0.38,,8.1
520,603218.SH,日月股份,指标分值,,,,,,,,,,,1.4148,2.2889,,
521,08132.HK,CENTURY EN INTL,指标数值,35.0,4.44,22.7,,,,,,,,,,,8.09
521,08132.HK,CENTURY EN INTL,指标分值,,,,,,,,,,,,,,
522,600688.SH,上海石化,指标数值,23.75,3.63,25.86,,,,,,,,,,41.67,8.08
522,600688.SH,上海石化,指标分值,,,,,,,,,,,,,2.4855,
523,300393.SZ,中来股份,指标数值,26.25,6.22,15.33,,,,,,,,4.3,,83.15,8.05
523,300393.SZ,中来股份,指标分值,,,,,,,,,,,1.4328,,0.7616,
524,601808.SH,中海油服,指标数值,17.5,5.67,16.98,,,,,,,,4.1,0.2825,,7.94
524,601808.SH,中海油服,指标分值,,,,,,,,,,,1.373,1.8603,,
525,002169.SZ,智光电气,指标数值,18.75,5.66,16.82,,,,,,,,4.81,0.08,,7.9
525,002169.SZ,智光电气,指标分值,,,,,,,,,,,1.5857,0.8775,,
526,920627.BJ,力王股份,指标数值,21.25,3.63,24.69,,,,,,,,,,,7.85
526,920627.BJ,力王股份,指标分值,,,,,,,,,,,,,,
527,000601.SZ,韶能股份,指标数值,18.75,5.67,16.37,,,,,,,,0.92,0.05,65.94,7.81
527,000601.SZ,韶能股份,指标分值,,,,,,,,,,,0.5495,0.752,2.1268,
528,920556.BJ,雅达股份,指标数值,26.25,3.74,23.08,,,,,,,,,,16.2548,7.61
528,920556.BJ,雅达股份,指标分值,,,,,,,,,,,,,0.5785,
529,920779.BJ,武汉蓝电,指标数值,20.0,3.76,22.76,,,,,,,,,,,7.56
529,920779.BJ,武汉蓝电,指标分值,,,,,,,,,,,,,,
530,08270.HK,CHINA CBM,指标数值,38.75,2.46,27.27,,,,,,,,,,,7.42
530,08270.HK,CHINA CBM,指标分值,,,,,,,,,,,,,,
531,600452.SH,涪陵电力,指标数值,16.25,4.59,18.48,,,,,,,,,0.103,,7.37
531,600452.SH,涪陵电力,指标分值,,,,,,,,,,,,0.9797,,
532,920046.BJ,亿能电力,指标数值,11.25,6.97,8.3,,,,,,,,,,48.0983,7.24
532,920046.BJ,亿能电力,指标分值,,,,,,,,,,,,,2.7633,
533,600027.SH,华电国际,指标数值,17.5,4.56,17.18,,,,,,,,2.07,0.23,,7.08
533,600027.SH,华电国际,指标分值,,,,,,,,,,,0.8077,1.6015,,
534,920770.BJ,艾能聚,指标数值,16.25,5.03,15.25,,,,,,,,,,45.8563,7.07
534,920770.BJ,艾能聚,指标分值,,,,,,,,,,,,,2.6954,
535,08631.HK,YUFENGCHANG HLD,指标数值,32.5,0.38,33.71,,,,,,,,,,,7.04
535,08631.HK,YUFENGCHANG HLD,指标分值,,,,,,,,,,,,,,
536,920167.BJ,同享科技,指标数值,21.25,4.09,18.81,,,,,,,,,,,7.03
536,920167.BJ,同享科技,指标分值,,,,,,,,,,,,,,
537,920414.BJ,欧普泰,指标数值,17.5,4.46,17.0,,,,,,,,,,24.1964,6.97
537,920414.BJ,欧普泰,指标分值,,,,,,,,,,,,,1.0902,
538,08536.HK,TL NATURAL GAS,指标数值,33.75,0.81,31.4,,,,,,,,,,,6.93
538,08536.HK,TL NATURAL GAS,指标分值,,,,,,,,,,,,,,
539,00061.HK,GREEN LEADER,指标数值,35.0,1.95,26.67,,,,,,,,,,,6.9
539,00061.HK,GREEN LEADER,指标分值,,,,,,,,,,,,,,
540,02798.HK,PER ENERGY,指标数值,35.0,0.72,31.13,,,,,,,,,,,6.8
540,02798.HK,PER ENERGY,指标分值,,,,,,,,,,,,,,
541,920237.BJ,力佳科技,指标数值,18.75,2.41,24.0,,,,,,,,,,23.21,6.73
541,920237.BJ,力佳科技,指标分值,,,,,,,,,,,,,1.0166,
542,920010.BJ,凯添燃气,指标数值,18.75,3.99,16.7,,,,,,,,,,,6.53
542,920010.BJ,凯添燃气,指标分值,,,,,,,,,,,,,,
543,002366.SZ,融发核电,指标数值,22.5,3.46,17.18,,,,,,,,,0,,6.21
543,002366.SZ,融发核电,指标分值,,,,,,,,,,,,0.5661,,
544,000722.SZ,湖南发展,指标数值,17.5,3.66,15.93,,,,,,,,2.18,0.05,10.09,6.11
544,000722.SZ,湖南发展,指标分值,,,,,,,,,,,0.8352,0.752,0.3163,
545,000539.SZ,粤电力Ａ,指标数值,16.25,4.07,13.6,,,,,,,,1.1,0.02,77.71,5.97
545,000539.SZ,粤电力Ａ,指标分值,,,,,,,,,,,0.5861,0.6368,1.1439,
546,920368.BJ,连城数控,指标数值,17.5,1.74,22.36,,,,,,,,,,,5.87
546,920368.BJ,连城数控,指标分值,,,,,,,,,,,,,,
547,920522.BJ,纳科诺尔,指标数值,16.25,2.04,20.08,,,,,,,,,,,5.65
547,920522.BJ,纳科诺尔,指标分值,,,,,,,,,,,,,,
548,920299.BJ,灿能电力,指标数值,13.75,3.27,14.28,,,,,,,,,,,5.47
548,920299.BJ,灿能电力,指标分值,,,,,,,,,,,,,,
549,000407.SZ,胜利股份,指标数值,15.0,2.02,18.38,,,,,,,,,0.06,,5.29
549,000407.SZ,胜利股份,指标分值,,,,,,,,,,,,0.7928,,
550,920252.BJ,天宏锂电,指标数值,20.0,1.14,21.31,,,,,,,,,,,5.17
550,920252.BJ,天宏锂电,指标分值,,,,,,,,,,,,,,
551,920809.BJ,安达科技,指标数值,21.25,0.61,22.91,,,,,,,,,,,5.07
551,920809.BJ,安达科技,指标分值,,,,,,,,,,,,,,
552,920062.BJ,科润智控,指标数值,17.5,1.96,17.16,,,,,,,,,,,5
552,920062.BJ,科润智控,指标分值,,,,,,,,,,,,,,
553,920523.BJ,德瑞锂电,指标数值,8.75,3.53,9.9,,,,,,,,,,30.55,4.81
553,920523.BJ,德瑞锂电,指标分值,,,,,,,,,,,,,1.6107,
554,920985.BJ,海泰新能,指标数值,11.25,0.55,10.42,,,,,,,,,,86.89,2.52
554,920985.BJ,海泰新能,指标分值,,,,,,,,,,,,,0.5509,
555,00276.HK,MONGOLIA ENERGY,指标数值,12.5,0.61,9.45,,,,,,,,,,,2.38
555,00276.HK,MONGOLIA ENERGY,指标分值,,,,,,,,,,,,,,
