序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
309,002452.SZ,长高电新,指标数值,31.25,17.42,21.16,,,,,,,,7.44,0.09,27.47,18.16
309,002452.SZ,长高电新,指标分值,,,,,,,,,,,2.3027,0.9213,1.3504,
310,600578.SH,京能电力,指标数值,50.0,9.41,52.77,,,3982.5129,1731.0416,17744.62,,,0.68,0.17,64.25,18.08
310,600578.SH,京能电力,指标分值,,,,,,0.001,0.0145,1.3311,,,0.5029,1.3004,2.2579,
311,300510.SZ,金冠股份,指标数值,26.25,18.4,16.66,17.6,7.9,,,,,0.28,5.86,0,30.0949,18.06
311,300510.SZ,金冠股份,指标分值,,,,6.0901,4.4318,,,,,0.7592,1.8934,0.5661,1.5717,
312,03337.HK,ANTON OILFIELD,指标数值,51.25,10.15,48.93,,,,,,,,,,67.4985,17.9
312,03337.HK,ANTON OILFIELD,指标分值,,,,,,,,,,,,,1.9995,
313,002335.SZ,科华数据,指标数值,31.25,15.69,26.56,,,,,,,,5.36,0.5,53.59,17.86
313,002335.SZ,科华数据,指标分值,,,,,,,,,,,1.7489,2.6667,2.7813,
314,001289.SZ,龙源电力,指标数值,28.75,17.22,20.13,72.946,,,,,,,1.15,0.1625,66.55,17.8
314,001289.SZ,龙源电力,指标分值,,,,6.0498,,,,,,,0.5965,1.2633,2.0776,
315,00182.HK,CONCORD NE,指标数值,53.75,10.56,46.53,,,,,,,,,,73.9046,17.76
315,00182.HK,CONCORD NE,指标分值,,,,,,,,,,,,,1.4533,
316,002471.SZ,中超控股,指标数值,35.0,18.57,14.21,,,,,,,,3.79,,65.01,17.7
316,002471.SZ,中超控股,指标分值,,,,,,,,,,,1.281,,2.2,
317,300617.SZ,安靠智电,指标数值,32.5,18.32,14.88,,,,,,,,8.5,,25.6847,17.63
317,300617.SZ,安靠智电,指标分值,,,,,,,,,,,2.5215,,1.2057,
318,01303.HK,HUILI RES,指标数值,42.5,12.86,36.65,,,,,,,,,,49.6488,17.61
318,01303.HK,HUILI RES,指标分值,,,,,,,,,,,,,2.7902,
319,300438.SZ,鹏辉能源,指标数值,23.75,18.57,13.38,382.5932,,,0.1993,,,,4.48,0.06,74.1857,17.53
319,300438.SZ,鹏辉能源,指标分值,,,,5.8204,,,1.9625,,,,1.4867,0.7928,1.4297,
320,003021.SZ,兆威机电,指标数值,33.75,15.91,23.86,,,,,,,,10.16,0.385,19.3339,17.5
320,003021.SZ,兆威机电,指标分值,,,,,,,,,,,2.7634,2.3083,0.7539,
320,300626.SZ,华瑞股份,指标数值,32.5,18.15,14.86,,,,,,,,3.94,0.017,40.0456,17.5
320,300626.SZ,华瑞股份,指标分值,,,,,,,,,,,1.3254,0.6259,2.3796,
321,301349.SZ,信德新材,指标数值,40.0,16.83,19.4,,,,,,,,2.57,0.3,17.6644,17.34
321,301349.SZ,信德新材,指标分值,,,,,,,,,,,0.9364,1.9434,0.655,
322,600333.SH,长春燃气,指标数值,32.5,19.04,10.13,,,,,,,,0.1738,,72.8266,17.25
322,600333.SH,长春燃气,指标分值,,,,,,,,,,,0.4133,,1.5448,
323,603333.SH,尚纬股份,指标数值,35.0,15.54,24.06,,,,,,,,4.11,,43.89,17.24
323,603333.SH,尚纬股份,指标分值,,,,,,,,,,,1.376,,2.6093,
324,002812.SZ,恩捷股份,指标数值,33.75,17.84,14.5,,,,,,,,5.06,,44.48,17.17
324,002812.SZ,恩捷股份,指标分值,,,,,,,,,,,1.6603,,2.6375,
325,002090.SZ,金智科技,指标数值,31.25,16.77,18.64,,,,,,,,9.27,0.025,51.2714,17.15
325,002090.SZ,金智科技,指标分值,,,,,,,,,,,2.6487,0.6553,2.8,
326,301295.SZ,美硕科技,指标数值,28.75,16.57,19.29,,,,,,,,5.35,0.21,30.7771,17.12
326,301295.SZ,美硕科技,指标分值,,,,,,,,,,,1.746,1.5009,1.6302,
327,00819.HK,TIANNENG POWER,指标数值,56.25,6.49,59.4,,,,,,,,3.7419,,,17.07
327,00819.HK,TIANNENG POWER,指标分值,,,,,,,,,,,1.2668,,,
328,600192.SH,长城电工,指标数值,32.5,16.66,17.9,,,,,,,,5.29,,80.8169,16.91
328,600192.SH,长城电工,指标分值,,,,,,,,,,,1.7283,,0.9152,
329,00836.HK,CHINA RES POWER,指标数值,48.75,8.68,49.53,,,,,,,,,,67.3544,16.85
329,00836.HK,CHINA RES POWER,指标分值,,,,,,,,,,,,,2.0115,
330,03800.HK,GCL TECH,指标数值,53.75,6.72,57.18,,,,,,,,5.8839,,,16.81
330,03800.HK,GCL TECH,指标分值,,,,,,,,,,,1.9001,,,
331,300842.SZ,帝科股份,指标数值,31.25,17.63,13.4,,,,,,,,3.33,0,82.3435,16.79
331,300842.SZ,帝科股份,指标分值,,,,,,,,,,,1.147,0.5661,0.8128,
332,00639.HK,SHOUGANG RES,指标数值,57.5,8.77,48.82,,,,,,,,,,,16.78
332,00639.HK,SHOUGANG RES,指标分值,,,,,,,,,,,,,,
333,01229.HK,NAN NAN RES,指标数值,46.25,10.67,41.18,,,,,,,,,,62.5938,16.77
